Shipment ID	FBA15VGNW3H0
Name	FBA (12/7/20, 5:28 AM) - 2
Plan ID	PLN38LH1FR
Ship To	DET2, 50500 Mound Rd, Shelby Township, MI, US, 48317-1318
Total SKUs	5
Total Units	73
shipment-total-cases	26
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-5	Eco Friendly 100% Recycled Cotton Colorful chindi Area Rug - 8'X10'	B0779L7CYG	B0779L7CYG	EAN : 8902552050606	New	"--"	"--"	"--"	1	21	21
PM016-1	Chardin home Oval Woven Jute Braided PLACEMAT (Set of 4), Size -13”x19'', Color - Natural Jute.	B0874KS5TV	B0874KS5TV	EAN : 0677355191112	New	"--"	"--"	"--"	14	1	14
R003-1	Chardin home Rainbow Multi Chindi and Natural Hemp Braid Rug, 4' Round	B06VXZL35Z	B06VXZL35Z	EAN : 8902552048863	New	"--"	"--"	"--"	4	2	8
R023-1	Chardin home Farmhouse Jute Braid Oval mat for Front Door, Porch, Kitchen	B07CJSZQ2B	B07CJSZQ2B	EAN : 8902552050989	New	"--"	"--"	"--"	20	1	20
R026-1	Chardin home Rainbow Multi Chindi and Natural Hemp Braid Rug, 27’’x45’’ Oval	B07CL73HWD	B07CL73HWD	EAN : 8902552051016	New	"--"	"--"	"--"	10	1	10
