Shipment ID	FBA15X53SG74											
Name	"FBA (1/4/21, 4:45 AM) - 1"											
Plan ID	PLN3CBBGRZ											
Ship To	"SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202"											
Total SKUs	45											
Total Units	1828											
shipment-total-cases	148											
Pack list	1 of 1											
												
Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped	
B047-1	"Chardin Home - Manhattan Stripe Bathroom Runner Rug, Aqua Blue-White (Pantone 14-4809 Tpx) with Latex Spray Non-Skid Backing, 24"" W x 60'' L Product Name"	B07YYFB3GH	B07YYFB3GH	EAN : 8902552051993	New	--	--	--	8	1	8	
B061-1	"Chardin Home Soft Microfiber Polyester Spa Mat, Plush Water Absorbent Accent Rug for Bathroom Vanity, Bathtub/Shower – Starfish Design – Size: 27” Round, Machine Washable – Dk. Turquoise/Mocha Beige."	B08KY9GTQV	X002OANEG7		New	--	--	Merchant	14	1	14	
CU003-1	"Chardin home – Diamond Design Black/Ivory 20"" X20” Throw Pillow Covers (Set of 2)."	B07P79C1Q6	B07P79C1Q6	EAN : 8902552051252	New	--	--	--	16	2	32	
CU015-1	"Chardin home Pack of 2 Decorative Farmhouse Throw Pillow Covers Jute Burlap Natural Pleated Ruffled Pillowcases for Couch Sofa Bedroom, 18 x 18 Inch, Natural Jute Color: Natural (Natural)"	B08N6RFSN1	X002PJ690P		New	--	--	Merchant	15	1	15	
PM002	"Chardin home Eco Friendly Denim/Jute Placemats (Set of 4), Size: 14''x19'' (14''x19'')"	B074W7DF2M	B074W7DF2M	EAN : 8902552050170	New	--	--	--	12	17	204	
PM003	"Chardin home Eco Friendly Rainbow Multi Chindi Placemats (Set of 4 mats), Size: 13""x19"""	B076Y1H1BD	B076Y1H1BD	EAN : 8902552050200	New	--	--	--	16	12	192	
R002-1	"Chardin home 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Black & White"	B01H27JW2U	B01H27JW2U	EAN : 8902552045992	New	--	--	--	20	1	20	
R002-10	"Chardin home 100% Cotton Diamond Area Rug Fully Reversible, Size - 3'x5', Machine Washable, Gray-Beige and White"	B074WHRYKD	B074WHRYKD	EAN : 8902552050057	New	--	--	--	9	6	54	
R002-11	"Chardin home 100% Cotton Diamond Area Rug Fully Reversible, Size - 3'x5', Machine Washable, (Black and White)"	B074WJ4MPS	B074WJ4MPS	EAN : 8902552050064	New	--	--	--	9	2	18	
R002-15	"Chardin home 100% Cotton Diamond Area Rug Fully Reversible, Size - 3'x5', Machine Washable, (Turquoise and White)"	B07F3GDPDC	B07F3GDPDC	EAN : 8902552051092	New	--	--	--	9	1	9	
