WHSE,STORE/DC#,REC#,STAT,PICK#,PICK DATE,PICK REF#,INV#,INV DATE,INV REF#,BOL#,DIV,ACCT#,ORDER#,ITEM#,DESCRIPTION,UPC#,SKU,VIA,DELIVER,CANCEL,QTY,UOM,PACK,CTNS,SHIP TO NAME,SHIP TO ATTN,SHIP TO ADDRESS,SHIP TO ADDRESS-2,SHIP TO CITY,SHIP TO STATE,SHIP TO ZIP,BILL TO NAME,BILL TO ATTN,BILLTO ADDRESS,BILL TO ADDRESS-2,BILL TO CITY,BILL TO STATE,BILL TO ZIP,COMMENTS
CA,,,3,FBA15STS26Z4,10-29-2020,,,,,,CHM,,,PM004,,EAN : 8902552051269,,BEST,10-29-2020,11-01-2020,14,CS,14,,GSO1,,1656 OLD GREENSBORO RD,,KERNERSVILLE,NC,27284-6855,,,,,,,,Shipping labels in file package-FBA15STS26Z4.pdf
CA,,,3,FBA15STTD65X,10-29-2020,,,,,,CHM,,,B003-6,,EAN : 8902552050590,,BEST,10-29-2020,11-01-2020,60,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15STTD65X.pdf
CA,,,3,FBA15STTD65X,10-29-2020,,,,,,CHM,,,B006-2,,EAN : 8902552046791,,BEST,10-29-2020,11-01-2020,10,CS,10,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15STTD65X.pdf
CA,,,3,FBA15STTD65X,10-29-2020,,,,,,CHM,,,B007-4,,EAN : 8902552046999,,BEST,10-29-2020,11-01-2020,10,CS,10,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15STTD65X.pdf
CA,,,3,FBA15STTD65X,10-29-2020,,,,,,CHM,,,B030-6,,EAN : 8902552051511,,BEST,10-29-2020,11-01-2020,8,CS,8,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15STTD65X.pdf
CA,,,3,FBA15STTD65X,10-29-2020,,,,,,CHM,,,B055-1,,EAN : 0677355186811,,BEST,10-29-2020,11-01-2020,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15STTD65X.pdf
CA,,,3,FBA15STTD65X,10-29-2020,,,,,,CHM,,,PM002,,EAN : 8902552050170,,BEST,10-29-2020,11-01-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15STTD65X.pdf
CA,,,3,FBA15STTD65X,10-29-2020,,,,,,CHM,,,PM003,,EAN : 8902552050200,,BEST,10-29-2020,11-01-2020,32,CS,16,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15STTD65X.pdf
CA,,,3,FBA15STTD65X,10-29-2020,,,,,,CHM,,,PM005,,EAN : 8902552051276,,BEST,10-29-2020,11-01-2020,24,CS,24,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15STTD65X.pdf
CA,,,3,FBA15STTD65X,10-29-2020,,,,,,CHM,,,R002-2,,EAN : 8902552048085,,BEST,10-29-2020,11-01-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15STTD65X.pdf
CA,,,3,FBA15STTD65X,10-29-2020,,,,,,CHM,,,R035-1,,EAN : 0677355141506,,BEST,10-29-2020,11-01-2020,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15STTD65X.pdf
CA,,,3,FBA15STTD65X,10-29-2020,,,,,,CHM,,,TR001,,EAN : 8902552050118,,BEST,10-29-2020,11-01-2020,40,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15STTD65X.pdf
CA,,,3,FBA15STTD65X,10-29-2020,,,,,,CHM,,,TR002,,EAN : 8902552050187,,BEST,10-29-2020,11-01-2020,13,CS,13,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15STTD65X.pdf
CA,,,3,FBA15STTD65X,10-29-2020,,,,,,CHM,,,TR005,,EAN : 8902552051351,,BEST,10-29-2020,11-01-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15STTD65X.pdf
CA,,,3,FBA15STTRFKX,10-29-2020,,,,,,CHM,,,PM004,,EAN : 8902552051269,,BEST,10-29-2020,11-01-2020,28,CS,14,,TPA3,,676 C Fred Jones Blvd,,Auburndale,FL,33823-9429,,,,,,,,Shipping labels in file package-FBA15STTRFKX.pdf
