WHSE,STORE/DC#,REC#,STAT,PICK#,PICK DATE,PICK REF#,INV#,INV DATE,INV REF#,BOL#,DIV,ACCT#,ORDER#,ITEM#,DESCRIPTION,UPC#,SKU,VIA,DELIVER,CANCEL,QTY,UOM,PACK,CTNS,SHIP TO NAME,SHIP TO ATTN,SHIP TO ADDRESS,SHIP TO ADDRESS-2,SHIP TO CITY,SHIP TO STATE,SHIP TO ZIP,BILL TO NAME,BILL TO ATTN,BILLTO ADDRESS,BILL TO ADDRESS-2,BILL TO CITY,BILL TO STATE,BILL TO ZIP,COMMENTS
CA,,,3,FBA15VGNW3H0,12-07-2020,,,,,,CHM,,,B025-5,,EAN : 8902552050606,,BEST,12-07-2020,12-10-2020,21,CS,1,,DET2,,50500 Mound Rd,,Shelby Township,MI,48317-1318,,,,,,,,Shipping labels in file package-FBA15VGNW3H0.pdf
CA,,,3,FBA15VGNW3H0,12-07-2020,,,,,,CHM,,,PM016-1,,EAN : 0677355191112,,BEST,12-07-2020,12-10-2020,14,CS,14,,DET2,,50500 Mound Rd,,Shelby Township,MI,48317-1318,,,,,,,,Shipping labels in file package-FBA15VGNW3H0.pdf
CA,,,3,FBA15VGNW3H0,12-07-2020,,,,,,CHM,,,R003-1,,EAN : 8902552048863,,BEST,12-07-2020,12-10-2020,8,CS,4,,DET2,,50500 Mound Rd,,Shelby Township,MI,48317-1318,,,,,,,,Shipping labels in file package-FBA15VGNW3H0.pdf
CA,,,3,FBA15VGNW3H0,12-07-2020,,,,,,CHM,,,R023-1,,EAN : 8902552050989,,BEST,12-07-2020,12-10-2020,20,CS,20,,DET2,,50500 Mound Rd,,Shelby Township,MI,48317-1318,,,,,,,,Shipping labels in file package-FBA15VGNW3H0.pdf
CA,,,3,FBA15VGNW3H0,12-07-2020,,,,,,CHM,,,R026-1,,EAN : 8902552051016,,BEST,12-07-2020,12-10-2020,10,CS,10,,DET2,,50500 Mound Rd,,Shelby Township,MI,48317-1318,,,,,,,,Shipping labels in file package-FBA15VGNW3H0.pdf
CA,,,3,FBA15VGNWK7G,12-07-2020,,,,,,CHM,,,40-A3NT-XOEA,,,,BEST,12-07-2020,12-10-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VGNWK7G.pdf
CA,,,3,FBA15VGNWK7G,12-07-2020,,,,,,CHM,,,B002-2,,EAN : 8902552045954,,BEST,12-07-2020,12-10-2020,24,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VGNWK7G.pdf
CA,,,3,FBA15VGNWK7G,12-07-2020,,,,,,CHM,,,B002-3,,EAN : 8902552046883,,BEST,12-07-2020,12-10-2020,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VGNWK7G.pdf
CA,,,3,FBA15VGNWK7G,12-07-2020,,,,,,CHM,,,B002-5,,EAN : 8902552048122,,BEST,12-07-2020,12-10-2020,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VGNWK7G.pdf
CA,,,3,FBA15VGNWK7G,12-07-2020,,,,,,CHM,,,B002-6,,EAN : 8902552050583,,BEST,12-07-2020,12-10-2020,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VGNWK7G.pdf
CA,,,3,FBA15VGNWK7G,12-07-2020,,,,,,CHM,,,B003-2,,EAN : 8902552046890,,BEST,12-07-2020,12-10-2020,156,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VGNWK7G.pdf
CA,,,3,FBA15VGNWK7G,12-07-2020,,,,,,CHM,,,B003-4,,EAN : 8902552046913,,BEST,12-07-2020,12-10-2020,48,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VGNWK7G.pdf
CA,,,3,FBA15VGNWK7G,12-07-2020,,,,,,CHM,,,B003-5,,EAN : 8902552048115,,BEST,12-07-2020,12-10-2020,36,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VGNWK7G.pdf
CA,,,3,FBA15VGNWK7G,12-07-2020,,,,,,CHM,,,B003-6,,EAN : 8902552050590,,BEST,12-07-2020,12-10-2020,36,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VGNWK7G.pdf
CA,,,3,FBA15VGNWK7G,12-07-2020,,,,,,CHM,,,B003-7,,EAN : 8902552051498,,BEST,12-07-2020,12-10-2020,24,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VGNWK7G.pdf
CA,,,3,FBA15VGNWK7G,12-07-2020,,,,,,CHM,,,B025-3,,EAN : 8902552050071,,BEST,12-07-2020,12-10-2020,238,CS,7,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VGNWK7G.pdf
CA,,,3,FBA15VGNWK7G,12-07-2020,,,,,,CHM,,,B036-4,,EAN : 8902552051566,,BEST,12-07-2020,12-10-2020,40,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VGNWK7G.pdf
CA,,,3,FBA15VGNWK7G,12-07-2020,,,,,,CHM,,,B036-9,,EAN : 8903540506259,,BEST,12-07-2020,12-10-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VGNWK7G.pdf
CA,,,3,FBA15VGNWK7G,12-07-2020,,,,,,CHM,,,B037-7,,EAN : 8903540506273,,BEST,12-07-2020,12-10-2020,40,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VGNWK7G.pdf
CA,,,3,FBA15VGNWK7G,12-07-2020,,,,,,CHM,,,B037-8,,EAN : 8903540506280,,BEST,12-07-2020,12-10-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VGNWK7G.pdf
CA,,,3,FBA15VGNWK7G,12-07-2020,,,,,,CHM,,,B037-9,,EAN : 8903540506297,,BEST,12-07-2020,12-10-2020,40,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VGNWK7G.pdf
CA,,,3,FBA15VGNWK7G,12-07-2020,,,,,,CHM,,,B053-1,,EAN : 8902552052235,,BEST,12-07-2020,12-10-2020,20,CS,10,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VGNWK7G.pdf
