WHSE,STORE/DC#,REC#,STAT,PICK#,PICK DATE,PICK REF#,INV#,INV DATE,INV REF#,BOL#,DIV,ACCT#,ORDER#,ITEM#,DESCRIPTION,UPC#,SKU,VIA,DELIVER,CANCEL,QTY,UOM,PACK,CTNS,SHIP TO NAME,SHIP TO ATTN,SHIP TO ADDRESS,SHIP TO ADDRESS-2,SHIP TO CITY,SHIP TO STATE,SHIP TO ZIP,BILL TO NAME,BILL TO ATTN,BILLTO ADDRESS,BILL TO ADDRESS-2,BILL TO CITY,BILL TO STATE,BILL TO ZIP,COMMENTS
CA,,,3,FBA15WQ71QRR,12-28-2020,,,,,,CHM,,,B025-5,,EAN : 8902552050606,,BEST,12-28-2020,12-31-2020,2,CS,1,,"Amazon.com Services, Inc.",,6050 Gateway Court,,Groveport,OH,43125-9016,,,,,,,,Shipping labels in file package-FBA15WQ71QRR.pdf
CA,,,3,FBA15WQ71QRR,12-28-2020,,,,,,CHM,,,CU009-1,,,,BEST,12-28-2020,12-31-2020,10,CS,10,,"Amazon.com Services, Inc.",,6050 Gateway Court,,Groveport,OH,43125-9016,,,,,,,,Shipping labels in file package-FBA15WQ71QRR.pdf
CA,,,3,FBA15WQ71QRR,12-28-2020,,,,,,CHM,,,R003-1,,EAN : 8902552048863,,BEST,12-28-2020,12-31-2020,8,CS,4,,"Amazon.com Services, Inc.",,6050 Gateway Court,,Groveport,OH,43125-9016,,,,,,,,Shipping labels in file package-FBA15WQ71QRR.pdf
CA,,,3,FBA15WQ71QRR,12-28-2020,,,,,,CHM,,,R047-1,,EAN : 0677355167162,,BEST,12-28-2020,12-31-2020,2,CS,2,,"Amazon.com Services, Inc.",,6050 Gateway Court,,Groveport,OH,43125-9016,,,,,,,,Shipping labels in file package-FBA15WQ71QRR.pdf
CA,,,3,FBA15WQ8LBBZ,12-28-2020,,,,,,CHM,,,B001-5,,EAN : 8902552045961,,BEST,12-28-2020,12-31-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15WQ8LBBZ.pdf
CA,,,3,FBA15WQ8LBBZ,12-28-2020,,,,,,CHM,,,B002-2,,EAN : 8902552045954,,BEST,12-28-2020,12-31-2020,12,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15WQ8LBBZ.pdf
CA,,,3,FBA15WQ8LBBZ,12-28-2020,,,,,,CHM,,,B002-3,,EAN : 8902552046883,,BEST,12-28-2020,12-31-2020,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15WQ8LBBZ.pdf
CA,,,3,FBA15WQ8LBBZ,12-28-2020,,,,,,CHM,,,B002-7,,EAN : 8902552051481,,BEST,12-28-2020,12-31-2020,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15WQ8LBBZ.pdf
CA,,,3,FBA15WQ8LBBZ,12-28-2020,,,,,,CHM,,,B003-1,,EAN : 8902552045947,,BEST,12-28-2020,12-31-2020,24,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15WQ8LBBZ.pdf
CA,,,3,FBA15WQ8LBBZ,12-28-2020,,,,,,CHM,,,B003-2,,EAN : 8902552046890,,BEST,12-28-2020,12-31-2020,360,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15WQ8LBBZ.pdf
CA,,,3,FBA15WQ8LBBZ,12-28-2020,,,,,,CHM,,,B003-3,,EAN : 8902552046906,,BEST,12-28-2020,12-31-2020,36,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15WQ8LBBZ.pdf
