WHSE,STORE/DC#,REC#,STAT,PICK#,PICK DATE,PICK REF#,INV#,INV DATE,INV REF#,BOL#,DIV,ACCT#,ORDER#,ITEM#,DESCRIPTION,UPC#,SKU,VIA,DELIVER,CANCEL,QTY,UOM,PACK,CTNS,SHIP TO NAME,SHIP TO ATTN,SHIP TO ADDRESS,SHIP TO ADDRESS-2,SHIP TO CITY,SHIP TO STATE,SHIP TO ZIP,BILL TO NAME,BILL TO ATTN,BILLTO ADDRESS,BILL TO ADDRESS-2,BILL TO CITY,BILL TO STATE,BILL TO ZIP,COMMENTS
CA,,,3,FBA15RS9N1DJ,10-01-2020,,,,,,CHM,,,B050-2,,EAN : 8902552052075,,BEST,10-01-2020,10-04-2020,10,CS,10,,"Amazon.com Services, Inc.",,225 Infinity Dr NW,,Charleston,TN,37310-1400,,,,,,,,Shipping labels in file package-FBA15RS9N1DJ.pdf
CA,,,3,FBA15RS9N1DJ,10-01-2020,,,,,,CHM,,,R003-1,,EAN : 8902552048863,,BEST,10-01-2020,10-04-2020,15,CS,1,,"Amazon.com Services, Inc.",,225 Infinity Dr NW,,Charleston,TN,37310-1400,,,,,,,,Shipping labels in file package-FBA15RS9N1DJ.pdf
CA,,,3,FBA15RS9N1DJ,10-01-2020,,,,,,CHM,,,R047-1,,EAN : 0677355167162,,BEST,10-01-2020,10-04-2020,4,CS,2,,"Amazon.com Services, Inc.",,225 Infinity Dr NW,,Charleston,TN,37310-1400,,,,,,,,Shipping labels in file package-FBA15RS9N1DJ.pdf
CA,,,3,FBA15RS9N1DJ,10-01-2020,,,,,,CHM,,,R061-1,,EAN : 0677355189232,,BEST,10-01-2020,10-04-2020,3,CS,3,,"Amazon.com Services, Inc.",,225 Infinity Dr NW,,Charleston,TN,37310-1400,,,,,,,,Shipping labels in file package-FBA15RS9N1DJ.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B001-6,,EAN : 8902552045978,,BEST,10-01-2020,10-04-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B002-2,,EAN : 8902552045954,,BEST,10-01-2020,10-04-2020,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B002-3,,EAN : 8902552046883,,BEST,10-01-2020,10-04-2020,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B003-1,,EAN : 8902552045947,,BEST,10-01-2020,10-04-2020,24,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B003-2,,EAN : 8902552046890,,BEST,10-01-2020,10-04-2020,96,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B003-3,,EAN : 8902552046906,,BEST,10-01-2020,10-04-2020,36,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B003-4,,EAN : 8902552046913,,BEST,10-01-2020,10-04-2020,24,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B003-5,,EAN : 8902552048115,,BEST,10-01-2020,10-04-2020,24,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B003-6,,EAN : 8902552050590,,BEST,10-01-2020,10-04-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B003-7,,EAN : 8902552051498,,BEST,10-01-2020,10-04-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B007-4,,EAN : 8902552046999,,BEST,10-01-2020,10-04-2020,10,CS,10,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B030-5,,EAN : 8902552051504,,BEST,10-01-2020,10-04-2020,8,CS,8,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B030-6,,EAN : 8902552051511,,BEST,10-01-2020,10-04-2020,8,CS,8,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B036-1,,EAN : 8902552051535,,BEST,10-01-2020,10-04-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B036-4,,EAN : 8902552051566,,BEST,10-01-2020,10-04-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B036-6,,EAN : 8902552051788,,BEST,10-01-2020,10-04-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B036-7,,EAN : 8903540506235,,BEST,10-01-2020,10-04-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B036-8,,EAN : 8903540506242,,BEST,10-01-2020,10-04-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B036-9,,EAN : 8903540506259,,BEST,10-01-2020,10-04-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B037-2,,EAN : 8902552051580,,BEST,10-01-2020,10-04-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B037-7,,EAN : 8903540506273,,BEST,10-01-2020,10-04-2020,40,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B037-8,,EAN : 8903540506280,,BEST,10-01-2020,10-04-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,B037-9,,EAN : 8903540506297,,BEST,10-01-2020,10-04-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,CU001-1,,EAN : 8902552051474,,BEST,10-01-2020,10-04-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,PM002,,EAN : 8902552050170,,BEST,10-01-2020,10-04-2020,132,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,PM003,,EAN : 8902552050200,,BEST,10-01-2020,10-04-2020,16,CS,16,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,PM006,,EAN : 8902552051337,,BEST,10-01-2020,10-04-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,R002-1,,EAN : 8902552045992,,BEST,10-01-2020,10-04-2020,40,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,R002-2,,EAN : 8902552048085,,BEST,10-01-2020,10-04-2020,60,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,R002-5,,EAN : 8902552048856,,BEST,10-01-2020,10-04-2020,40,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,R002-9,,EAN : 8902552050040,,BEST,10-01-2020,10-04-2020,20,CS,10,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,R033-2,,EAN : 0677355155725,,BEST,10-01-2020,10-04-2020,26,CS,26,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,R035-1,,EAN : 0677355141506,,BEST,10-01-2020,10-04-2020,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,R035-2,,EAN : 0677355110052,,BEST,10-01-2020,10-04-2020,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,R037-1,,EAN : 0677355114494,,BEST,10-01-2020,10-04-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,R039-1,,EAN : 0677355197091,,BEST,10-01-2020,10-04-2020,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,R040-1,,EAN : 0677355106246,,BEST,10-01-2020,10-04-2020,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,R044-1,,EAN : 0677355163720,,BEST,10-01-2020,10-04-2020,18,CS,18,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
CA,,,3,FBA15RSJPRN8,10-01-2020,,,,,,CHM,,,R049-1,,EAN : 0677355180024,,BEST,10-01-2020,10-04-2020,8,CS,8,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15RSJPRN8.pdf
