WHSE,STORE/DC#,REC#,STAT,PICK#,PICK DATE,PICK REF#,INV#,INV DATE,INV REF#,BOL#,DIV,ACCT#,ORDER#,ITEM#,DESCRIPTION,UPC#,SKU,VIA,DELIVER,CANCEL,QTY,UOM,PACK,CTNS,SHIP TO NAME,SHIP TO ATTN,SHIP TO ADDRESS,SHIP TO ADDRESS-2,SHIP TO CITY,SHIP TO STATE,SHIP TO ZIP,BILL TO NAME,BILL TO ATTN,BILLTO ADDRESS,BILL TO ADDRESS-2,BILL TO CITY,BILL TO STATE,BILL TO ZIP,COMMENTS
CA,,,3,FBA15VVYNHM0,12-14-2020,,,,,,CHM,,,R003-1,,EAN : 8902552048863,,BEST,12-14-2020,12-17-2020,4,CS,4,,SAV3,,7001 Skipper Rd,,Macon,GA,31216-6427,,,,,,,,Shipping labels in file package-FBA15VVYNHM0.pdf
CA,,,3,FBA15VVYNHM0,12-14-2020,,,,,,CHM,,,R003-2,,EAN : 8902552048870,,BEST,12-14-2020,12-17-2020,3,CS,1,,SAV3,,7001 Skipper Rd,,Macon,GA,31216-6427,,,,,,,,Shipping labels in file package-FBA15VVYNHM0.pdf
CA,,,3,FBA15VVYNHM0,12-14-2020,,,,,,CHM,,,R025-1,,EAN : 8902552051009,,BEST,12-14-2020,12-17-2020,9,CS,9,,SAV3,,7001 Skipper Rd,,Macon,GA,31216-6427,,,,,,,,Shipping labels in file package-FBA15VVYNHM0.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,B001-5,,EAN : 8902552045961,,BEST,12-14-2020,12-17-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,B003-1,,EAN : 8902552045947,,BEST,12-14-2020,12-17-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,B003-2,,EAN : 8902552046890,,BEST,12-14-2020,12-17-2020,108,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,B003-3,,EAN : 8902552046906,,BEST,12-14-2020,12-17-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,B003-6,,EAN : 8902552050590,,BEST,12-14-2020,12-17-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,B025-3,,EAN : 8902552050071,,BEST,12-14-2020,12-17-2020,70,CS,7,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,B027-1,,EAN : 8902552049105,,BEST,12-14-2020,12-17-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,B029-1,,EAN : 8902552048801,,BEST,12-14-2020,12-17-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,B030-6,,EAN : 8902552051511,,BEST,12-14-2020,12-17-2020,8,CS,8,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,B035-1,,EAN : 8902552050286,,BEST,12-14-2020,12-17-2020,8,CS,8,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,B036-2,,EAN : 8902552051542,,BEST,12-14-2020,12-17-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,B036-4,,EAN : 8902552051566,,BEST,12-14-2020,12-17-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,B036-6,,EAN : 8902552051788,,BEST,12-14-2020,12-17-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,B040-1,,EAN : 8902552051696,,BEST,12-14-2020,12-17-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,B044-1,,EAN : 8902552054000,,BEST,12-14-2020,12-17-2020,16,CS,16,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,B045-2,,EAN : 8902552054048,,BEST,12-14-2020,12-17-2020,24,CS,24,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,PM003,,EAN : 8902552050200,,BEST,12-14-2020,12-17-2020,48,CS,16,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,PM009-1,,,,BEST,12-14-2020,12-17-2020,35,CS,35,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,PM010-1,,,,BEST,12-14-2020,12-17-2020,25,CS,25,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,R002-15,,EAN : 8902552051092,,BEST,12-14-2020,12-17-2020,9,CS,9,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,R002-20,,EAN : 8902552051740,,BEST,12-14-2020,12-17-2020,5,CS,5,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,R035-1,,EAN : 0677355141506,,BEST,12-14-2020,12-17-2020,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,R037-1,,EAN : 0677355114494,,BEST,12-14-2020,12-17-2020,7,CS,7,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3WRWQ,12-14-2020,,,,,,CHM,,,TR003,,EAN : 8902552050217,,BEST,12-14-2020,12-17-2020,15,CS,15,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15VW3WRWQ.pdf
CA,,,3,FBA15VW3X1S6,12-14-2020,,,,,,CHM,,,B003-7,,EAN : 8902552051498,,BEST,12-14-2020,12-17-2020,12,CS,12,,ATL2,,2255 W PARK PLACE BLVD,,STONE MOUNTAIN,GA,30087-3506,,,,,,,,Shipping labels in file package-FBA15VW3X1S6.pdf
CA,,,3,FBA15VW3X1S6,12-14-2020,,,,,,CHM,,,B030-5,,EAN : 8902552051504,,BEST,12-14-2020,12-17-2020,8,CS,8,,ATL2,,2255 W PARK PLACE BLVD,,STONE MOUNTAIN,GA,30087-3506,,,,,,,,Shipping labels in file package-FBA15VW3X1S6.pdf
CA,,,3,FBA15VW3X1S6,12-14-2020,,,,,,CHM,,,R002-17,,EAN : 8902552051115,,BEST,12-14-2020,12-17-2020,8,CS,8,,ATL2,,2255 W PARK PLACE BLVD,,STONE MOUNTAIN,GA,30087-3506,,,,,,,,Shipping labels in file package-FBA15VW3X1S6.pdf
CA,,,3,FBA15VW3X1S6,12-14-2020,,,,,,CHM,,,R002-8,,EAN : 8902552050033,,BEST,12-14-2020,12-17-2020,10,CS,10,,ATL2,,2255 W PARK PLACE BLVD,,STONE MOUNTAIN,GA,30087-3506,,,,,,,,Shipping labels in file package-FBA15VW3X1S6.pdf
