WHSE,STORE/DC#,REC#,STAT,PICK#,PICK DATE,PICK REF#,INV#,INV DATE,INV REF#,BOL#,DIV,ACCT#,ORDER#,ITEM#,DESCRIPTION,UPC#,SKU,VIA,DELIVER,CANCEL,QTY,UOM,PACK,CTNS,SHIP TO NAME,SHIP TO ATTN,SHIP TO ADDRESS,SHIP TO ADDRESS-2,SHIP TO CITY,SHIP TO STATE,SHIP TO ZIP,BILL TO NAME,BILL TO ATTN,BILLTO ADDRESS,BILL TO ADDRESS-2,BILL TO CITY,BILL TO STATE,BILL TO ZIP,COMMENTS
CA,,,3,FBA15S85NBZX,10-13-2020,,,,,,CHM,,,R068-1,,EAN : 0677355184954,,BEST,10-13-2020,10-16-2020,5,CS,5,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15S85NBZX.pdf
CA,,,3,FBA15S88Z7BL,10-13-2020,,,,,,CHM,,,B025-3,,EAN : 8902552050071,,BEST,10-13-2020,10-16-2020,48,CS,8,,DET2,,50500 Mound Rd,,Shelby Township,MI,48317-1318,,,,,,,,Shipping labels in file package-FBA15S88Z7BL.pdf
CA,,,3,FBA15S88Z7BL,10-13-2020,,,,,,CHM,,,B025-5,,EAN : 8902552050606,,BEST,10-13-2020,10-16-2020,2,CS,1,,DET2,,50500 Mound Rd,,Shelby Township,MI,48317-1318,,,,,,,,Shipping labels in file package-FBA15S88Z7BL.pdf
CA,,,3,FBA15S88Z7BL,10-13-2020,,,,,,CHM,,,PM004,,EAN : 8902552051269,,BEST,10-13-2020,10-16-2020,14,CS,14,,DET2,,50500 Mound Rd,,Shelby Township,MI,48317-1318,,,,,,,,Shipping labels in file package-FBA15S88Z7BL.pdf
CA,,,3,FBA15S88ZQKV,10-13-2020,,,,,,CHM,,,B025-3,,EAN : 8902552050071,,BEST,10-13-2020,10-16-2020,56,CS,8,,"Amazon.com Services, Inc.",,5000 Commerce Way,,Petersburg,VA,23803-6917,,,,,,,,Shipping labels in file package-FBA15S88ZQKV.pdf
CA,,,3,FBA15S88ZQKV,10-13-2020,,,,,,CHM,,,PM004,,EAN : 8902552051269,,BEST,10-13-2020,10-16-2020,14,CS,14,,"Amazon.com Services, Inc.",,5000 Commerce Way,,Petersburg,VA,23803-6917,,,,,,,,Shipping labels in file package-FBA15S88ZQKV.pdf
CA,,,3,FBA15S88ZQKV,10-13-2020,,,,,,CHM,,,R003-1,,EAN : 8902552048863,,BEST,10-13-2020,10-16-2020,1,CS,1,,"Amazon.com Services, Inc.",,5000 Commerce Way,,Petersburg,VA,23803-6917,,,,,,,,Shipping labels in file package-FBA15S88ZQKV.pdf
CA,,,3,FBA15S8D5X8Z,10-13-2020,,,,,,CHM,,,B002-2,,EAN : 8902552045954,,BEST,10-13-2020,10-16-2020,18,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15S8D5X8Z.pdf
CA,,,3,FBA15S8D5X8Z,10-13-2020,,,,,,CHM,,,B002-3,,EAN : 8902552046883,,BEST,10-13-2020,10-16-2020,12,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15S8D5X8Z.pdf
CA,,,3,FBA15S8D5X8Z,10-13-2020,,,,,,CHM,,,B002-6,,EAN : 8902552050583,,BEST,10-13-2020,10-16-2020,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15S8D5X8Z.pdf
