Shipment ID	FBA15X58VP6P											
Name	"FBA (1/4/21, 4:45 AM) - 3"											
Plan ID	PLN3CBBGRZ											
Ship To	"CMH3, 700 GATEWAY BLVD, Monroe, OH, US, 45050-1848"											
Total SKUs	5											
Total Units	136											
shipment-total-cases	29											
Pack list	1 of 1											
												
Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped	
B025-3	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Runner Area Rug - 2'x7'	B074WHMGN3	B074WHMGN3	EAN : 8902552050071	New	--	--	--	7	13	91	
B025-5	Eco Friendly 100% Recycled Cotton Colorful chindi Area Rug - 8'X10'	B0779L7CYG	B0779L7CYG	EAN : 8902552050606	New	--	--	--	1	13	13	
R023-1	"Chardin home Farmhouse Jute Braid Oval mat for Front Door, Porch, Kitchen"	B07CJSZQ2B	B07CJSZQ2B	EAN : 8902552050989	New	--	--	--	20	1	20	
R028-1	"Chardin home Denim and Natural Hemp Braid Rug, Oval mat (18''x30'')"	B07CJSJ6NG	B07CJSJ6NG	EAN : 8902552051030	New	--	--	--	9	1	9	Kindly make a box 9 pcs box and arrange to send
R031-2	"Chardin Home Eco Friendly 100% Recycled Leather Area Rug, Camel Grey - 5'X7'."	B07Z23PPN3	B07Z23PPN3	EAN : 8902552052143	New	--	--	--	3	1	3	
